State,Abbreviation,Total
ALABAMA,AL,9
ALASKA,AK,3
ARIZONA,AZ,11
ARKANSAS,AR,6
CALIFORNIA,CA,54
COLORADO,CO,10
CONNECTICUT,CT,7
DISTRICT OF COLUMBIA,DC,3
DELAWARE,DE,3
FLORIDA,FL,30
GEORGIA,GA,16
HAWAII,HI,4
IDAHO,ID,4
ILLINOIS,IL,19
INDIANA,IN,11
IOWA,IA,6
KANSAS,KS,6
KENTUCKY,KY,8
LOUISIANA,LA,8
MAINE,ME,4
MARYLAND,MD,10
MASSACHUSETTS,MA,11
MICHIGAN,MI,15
MINNESOTA,MN,10
MISSISSIPPI,MS,6
MISSOURI,MO,10
MONTANA,MT,4
NEBRASKA,NE,5
NEVADA,NV,6
NEW HAMPSHIRE,NH,4
NEW JERSEY,NJ,14
NEW MEXICO,NM,5
NEW YORK,NY,28
NORTH CAROLINA,NC,16
NORTH DAKOTA,ND,3
OHIO,OH,17
OKLAHOMA,OK,7
OREGON,OR,8
PENNSYLVANIA,PA,19
RHODE ISLAND,RI,4
SOUTH CAROLINA,SC,9
SOUTH DAKOTA,SD,3
TENNESSEE,TN,11
TEXAS,TX,40
UTAH,UT,6
VERMONT,VT,3
VIRGINIA,VA,13
WASHINGTON,WA,12
WEST VIRGINIA,WV,4
WISCONSIN,WI,10
WYOMING,WY,3